matric_number,full_name,department,level,gender,date_of_birth,state_of_origin,gpa,score_maths,score_english,fees_paid,outstanding_fees,hostel,scholarship,phone,legacy_field
FP/2021/17568,ibrahim dan-asabe,Business Admin,ND1,M,2000-02-23,Enugu,1.04,21,99,157882.36,43525.53,Block A,Federal Govt,08070210197,
FP/2021/32275,ibrahim dan-asabe,Nutrition,HND1,MALE,1999-04-26,Edo,2.91,52,45,94616.15,146331.3,,State Govt,08098145681,
FP/2021/33350,ALIYU MUSA,Statistics,HND2,F,2001-05-28,Edo,1.82,57,90,124022.95,149175.62,Off Campus,,08057592341,
FP/2021/16623,ibrahim dan-asabe,,HND1,FEMALE,2000-05-21,Edo,1.22,19,62,199728.99,112132.9,Block C,,08032960954,
FP/2021/72589,ALIYU MUSA,Electrical Engineering,HND1,F,1998-04-21,Rivers,4.84,69,44,59352.21,122156.97,Block C,Federal Govt,08047950531,
FP/2021/20343,CHIOMA NNAJI,Electrical Engineering,HND2,F,1999-02-23,Delta,1.02,58,67,,51379.03,,Private,08053761618,
FP/2021/82367,Emeka Okoye,Nutrition,HND1,Male,2002-10-05,Kano,2.16,88,37,160887.71,55374.77,Block C,State Govt,08037781742,
FP/2021/32173,Emeka Okoye,Statistics,HND1,MALE,1999-05-31,Kano,2.18,78,99,118403.38,,Block C,,08093825366,
FP/2021/14316,CHIOMA NNAJI,,ND2,FEMALE,2001-08-23,Oyo,4.98,49,53,198626.57,91220.83,,None,08047756552,
FP/2021/84603,CHIOMA NNAJI,Statistics,ND2,Male,2002-03-03,Kano,,14,97,115975.58,90872.86,Off Campus,Federal Govt,08038972561,
FP/2021/58357,ALIYU MUSA,Statistics,ND2,FEMALE,2001-05-12,Kano,2.72,67,72,174808.15,70083.08,Block B,State Govt,08038904474,
FP/2021/64210,segun adeyemi,Accountancy,HND2,M,1997-08-24,Lagos,4.9,-3,31,157825.35,2855.53,Block C,,08062113042,
FP/2021/13006,CHIOMA NNAJI,Business Admin,HND2,Female,1997-09-08,Enugu,2.57,51,87,139896.82,132864.95,Off Campus,None,08098957042,
FP/2021/36141,Emeka Okoye,Electrical Engineering,HND2,MALE,2002-03-24,Delta,4.28,61,62,117915.11,38774.4,Off Campus,Federal Govt,08097273854,
FP/2021/49489,segun adeyemi,Statistics,ND2,Male,2002-07-22,Abuja,2.01,78,10,199834.76,129239.56,,,08068819030,
FP/2021/27531,Aisha Bello,Electrical Engineering,HND1,FEMALE,1999-10-22,Delta,2.12,72,65,109675.89,76708.81,,State Govt,08031368928,
FP/2021/97610,segun adeyemi,Accountancy,ND2,MALE,1998-02-18,Oyo,2.81,67,71,135512.63,92080.29,Off Campus,None,08026525643,
FP/2021/21920,Emeka Okoye,Civil Engineering,ND1,M,1999-07-31,Lagos,2.13,75,6,95425.99,61455.93,Block A,Federal Govt,08041033167,
FP/2021/75823,ALIYU MUSA,Accountancy,ND2,Male,2001-08-17,Abuja,,13,66,138089.2,93777.97,Block B,Federal Govt,08052774399,
FP/2021/43975,ibrahim dan-asabe,Accountancy,HND2,M,1999-05-03,Edo,4.42,30,47,66900.1,32939.69,Block A,State Govt,08090382777,
FP/2021/32951,Emeka Okoye,Electrical Engineering,HND1,MALE,2002-10-07,Enugu,4.94,13,54,,124511.45,Block C,None,08043747625,
FP/2021/27003,segun adeyemi,Accountancy,HND1,F,1998-11-18,Enugu,1.38,86,67,125341.4,112347.54,Block C,,08068257418,
FP/2021/53610,Emeka Okoye,Electrical Engineering,HND1,Male,2002-10-20,Edo,3.01,91,18,190139.84,142559.38,Off Campus,Federal Govt,08061716741,
FP/2021/38185,CHIOMA NNAJI,Business Admin,HND1,FEMALE,2002-04-13,Kano,3.94,94,54,54385.34,77281.11,Block C,Federal Govt,08010136067,
FP/2021/69892,segun adeyemi,Statistics,HND1,Female,1999-06-23,Lagos,3.54,46,46,187958.3,107004.21,,Private,08078823034,
FP/2021/29385,CHIOMA NNAJI,Mass Communication,ND1,Female,2001-04-24,Kano,3.11,10,39,152547.29,44509.03,Block B,State Govt,08091362713,
FP/2021/34305,CHIOMA NNAJI,Electrical Engineering,ND2,Female,1999-09-25,Enugu,4.43,2,39,169048.82,54140.13,Block C,Federal Govt,08023930756,
FP/2021/57830,ibrahim dan-asabe,Accountancy,ND1,FEMALE,2000-07-12,Rivers,3.95,53,46,69132.98,18021.87,Block C,Private,08031364357,
FP/2021/97894,ALIYU MUSA,Nutrition,HND1,FEMALE,1997-08-21,Rivers,,64,19,52002.16,129674.83,Off Campus,State Govt,08066329731,
FP/2021/39415,ibrahim dan-asabe,Mass Communication,HND1,FEMALE,1998-02-03,Edo,3.92,37,29,146035.58,88993.38,,Federal Govt,08053895660,
FP/2021/59998,Aisha Bello,Mass Communication,HND1,MALE,1999-12-23,Edo,1.86,9,57,199589.3,72332.32,Block B,State Govt,08018955028,
FP/2021/95558,ibrahim dan-asabe,Statistics,HND2,F,1998-06-06,Kano,1.77,3,81,145715.23,129696.06,,State Govt,08066437335,
FP/2021/85791,Aisha Bello,Business Admin,HND2,FEMALE,1999-04-10,Lagos,3.32,97,61,118337.04,104653.02,Block C,,08070006784,
FP/2021/17428,ibrahim dan-asabe,Mass Communication,ND2,Male,1999-08-10,Lagos,4.68,82,1,57615.24,115444.84,Off Campus,None,08048786485,
FP/2021/80932,segun adeyemi,Accountancy,ND2,M,2002-05-23,Rivers,1.62,84,70,173652.07,46847.66,Off Campus,Private,08028235397,
FP/2021/35249,CHIOMA NNAJI,Statistics,ND1,F,2000-09-12,Oyo,1.85,25,28,178256.95,147610.39,,None,08036422477,
FP/2021/82859,Aisha Bello,Accountancy,HND1,MALE,2002-10-24,Rivers,2.65,10,86,70059.62,46065.22,,None,08031220126,
FP/2021/65076,ibrahim dan-asabe,Nutrition,HND2,Female,1998-01-12,Lagos,3.57,87,98,166492.05,37401.79,Block A,None,08087960558,
FP/2021/69724,CHIOMA NNAJI,,ND2,M,2000-10-06,Enugu,3.44,67,76,158959.23,44528.05,,Federal Govt,08045063761,
FP/2021/46494,Emeka Okoye,Statistics,HND2,M,2002-11-22,Enugu,2.37,18,84,,11449.24,Block B,,08049703164,
FP/2021/27087,GRACE PETER,Mass Communication,HND1,Male,1999-07-19,Kano,4.36,-2,24,56969.08,3642.27,Block B,Federal Govt,08050377327,
FP/2021/47850,CHIOMA NNAJI,Electrical Engineering,HND2,M,1999-02-10,Rivers,3.08,2,20,154189.72,92617.94,Off Campus,Private,08028864844,
FP/2021/46956,ALIYU MUSA,Accountancy,HND2,F,2000-04-19,Delta,3.09,64,80,134934.36,104541.49,Block B,Federal Govt,08070274305,
FP/2021/74959,CHIOMA NNAJI,Civil Engineering,HND2,Male,2001-12-13,Kano,1.65,57,55,124781.12,26132.76,Block A,None,08044988717,
FP/2021/54989,ibrahim dan-asabe,Accountancy,HND2,Male,2002-04-20,Enugu,4.46,-5,86,97223.07,38174.13,Block A,,08011194017,
FP/2021/25278,Aisha Bello,Nutrition,HND2,FEMALE,2002-08-21,Rivers,4.32,62,34,188276.44,25234.24,Block A,Federal Govt,08032191936,
FP/2021/84787,CHIOMA NNAJI,Electrical Engineering,HND1,M,2001-09-29,Edo,1.79,36,41,65399.14,87091.75,,Federal Govt,08026741528,
FP/2021/97695,ALIYU MUSA,Accountancy,HND2,FEMALE,2002-03-14,Delta,,81,95,126569.12,46473.38,Block C,,08091838371,
FP/2021/59141,Aisha Bello,Computer Science,ND2,M,2000-09-23,Oyo,2.35,31,23,161749.2,64929.15,Off Campus,Private,08028928563,
FP/2021/10242,Aisha Bello,Statistics,ND2,MALE,1997-04-26,Kano,3.58,1,5,,3450.71,,None,08094195041,
FP/2021/37683,Emeka Okoye,Accountancy,HND2,MALE,1997-06-29,Lagos,3.55,59,67,199513.92,114970.88,Block B,Federal Govt,08074734160,
FP/2021/80007,Emeka Okoye,Nutrition,ND1,F,2000-02-27,Lagos,1.41,63,35,190290.17,12503.05,Block A,Federal Govt,08090149094,
FP/2021/95499,ALIYU MUSA,Civil Engineering,ND2,Male,1997-10-05,Oyo,3.19,50,67,128118.56,143673.62,,Private,08076438759,
FP/2021/16254,GRACE PETER,Statistics,HND1,M,1999-08-26,Kano,4.96,98,80,55316.74,12685.05,Block C,State Govt,08070685972,
FP/2021/32963,Aisha Bello,Electrical Engineering,ND2,Male,1998-04-09,Kano,,6,98,185683.72,35677.14,Off Campus,,08091569564,
FP/2021/63942,GRACE PETER,Nutrition,HND1,FEMALE,2002-12-25,Enugu,3.55,99,95,157425.83,101454.08,,State Govt,08064858309,
FP/2021/10481,ibrahim dan-asabe,Business Admin,ND2,F,2000-01-25,Rivers,2.9,76,27,,70643.68,Block A,State Govt,08042524279,
FP/2021/76090,ALIYU MUSA,Mass Communication,HND2,Male,1997-11-03,Enugu,4.62,56,67,140800.72,97131.91,Block A,None,08012422337,
FP/2021/48590,segun adeyemi,Mass Communication,HND1,FEMALE,1997-05-24,Delta,4.69,59,3,117747.82,43625.08,Block C,Private,08083225051,
FP/2021/48427,ALIYU MUSA,Statistics,ND2,MALE,2001-11-23,Enugu,4.11,14,66,148370.12,14358.16,Block B,State Govt,08040490719,
FP/2021/72368,ibrahim dan-asabe,Mass Communication,ND2,FEMALE,1999-02-14,Lagos,1.3,66,97,71322.7,,Block A,Private,08036532441,
FP/2021/36126,ibrahim dan-asabe,Nutrition,ND1,FEMALE,2002-08-12,Kano,2.74,17,92,156204.22,131915.06,Block B,Federal Govt,08035385585,
FP/2021/55863,ALIYU MUSA,Statistics,ND2,Male,1997-12-08,Lagos,4.83,81,26,119785.33,103138.43,Block B,None,08039966069,
FP/2021/54530,segun adeyemi,Nutrition,ND1,M,1998-07-07,Oyo,2.84,35,23,150883.98,116655.35,Block A,Federal Govt,08035275307,
FP/2021/32697,ibrahim dan-asabe,Mass Communication,ND1,Male,1997-10-18,Abuja,3.18,-5,57,60823.83,123392.21,Block C,State Govt,08066226595,
FP/2021/44015,segun adeyemi,Nutrition,ND2,M,1998-09-10,Abuja,3.01,98,93,105254.42,132734.29,Off Campus,None,08038639923,
FP/2021/12972,ALIYU MUSA,Electrical Engineering,HND1,FEMALE,1998-08-20,Lagos,2.82,92,94,,13469.11,Block A,None,08012261940,
FP/2021/68334,ibrahim dan-asabe,Statistics,HND2,M,1999-01-16,Delta,4.8,95,31,,6947.56,Block A,None,08050104313,
FP/2021/34608,CHIOMA NNAJI,Statistics,HND1,MALE,1998-10-22,Enugu,3.21,79,1,132249.25,81848.95,Block C,None,08065774778,
FP/2021/16333,Emeka Okoye,Accountancy,HND1,F,1998-11-02,Edo,3.52,13,28,159572.35,139554.67,Off Campus,None,08044041527,
FP/2021/58837,CHIOMA NNAJI,Business Admin,ND1,Male,2001-03-08,Rivers,4.25,21,0,190748.07,4858.07,Block C,Federal Govt,08043571402,
FP/2021/84045,ALIYU MUSA,Business Admin,ND2,Male,2002-03-23,Edo,1.2,-3,37,191344.85,3785.03,,Private,08083610993,
FP/2021/80563,ALIYU MUSA,Statistics,ND1,F,1999-03-21,Oyo,1.33,62,64,136485.47,,Off Campus,,08023437146,
FP/2021/16211,Aisha Bello,Computer Science,ND1,Male,2001-07-14,Oyo,3.37,86,82,141919.75,36553.59,Block B,None,08027449267,
FP/2021/29244,Aisha Bello,Accountancy,HND1,MALE,1997-09-09,Rivers,4.13,87,33,136864.44,83875.67,Block C,Federal Govt,08017722069,
FP/2021/90116,ALIYU MUSA,Computer Science,ND1,M,2001-01-15,Enugu,4.01,43,93,98261.49,36641.1,Block B,Private,08083604158,
FP/2021/87660,Aisha Bello,Nutrition,ND2,MALE,1997-07-18,Enugu,4.6,25,5,147378.08,144301.4,Block C,State Govt,08064846883,
FP/2021/38532,Emeka Okoye,Business Admin,ND2,Female,1999-08-28,Rivers,1.31,86,77,116241.08,37055.46,Block C,None,08094367313,
FP/2021/60643,GRACE PETER,Computer Science,HND2,Female,2001-09-01,Delta,2.09,7,72,142043.05,89944.8,Block B,Federal Govt,08076632715,
FP/2021/55326,segun adeyemi,Civil Engineering,HND2,Female,1997-05-17,Enugu,1.25,56,38,186017.84,143038.91,,Private,08079792018,
FP/2021/68480,Aisha Bello,Electrical Engineering,ND2,M,2000-03-28,Abuja,3.43,22,18,189044.98,132162.05,Block B,Federal Govt,08033967689,
FP/2021/59198,Emeka Okoye,Civil Engineering,HND1,Female,1999-02-02,Edo,4.26,81,2,84602.3,115951.21,Off Campus,Federal Govt,08066849076,
FP/2021/20728,ALIYU MUSA,Nutrition,ND1,M,2000-05-07,Rivers,1.63,47,28,124977.05,100207.69,Block B,,08034935591,
FP/2021/60200,segun adeyemi,Accountancy,HND2,Female,1999-11-29,Lagos,1.72,15,52,163235.77,147344.68,Off Campus,None,08054750715,
FP/2021/76038,segun adeyemi,Computer Science,HND2,MALE,1998-08-14,Abuja,3.76,14,23,52737.06,,Block A,None,08067504101,
FP/2021/21561,Emeka Okoye,Nutrition,HND1,MALE,1998-06-28,Enugu,1.69,35,18,57461.38,,Block C,Federal Govt,08091167067,
FP/2021/63393,segun adeyemi,Mass Communication,ND1,Female,1998-08-13,Edo,1.19,38,95,195612.91,22340.93,Block B,State Govt,08079229739,
FP/2021/33855,Aisha Bello,Business Admin,ND2,MALE,1998-08-31,Rivers,4.76,9,52,143233.15,104573.26,Block B,,08071652867,
FP/2021/24024,ibrahim dan-asabe,Statistics,ND2,Female,1998-12-23,Rivers,2.46,7,57,173052.35,44103.84,Block A,None,08054019676,
FP/2021/54470,Aisha Bello,Civil Engineering,HND2,M,2001-06-30,Kano,4.61,14,81,70712.93,29221.72,Off Campus,,08044009346,
FP/2021/19448,ALIYU MUSA,Electrical Engineering,HND2,F,2001-06-26,Enugu,4.48,47,52,196284.07,144060.83,Off Campus,State Govt,08074066648,
FP/2021/43764,ALIYU MUSA,Civil Engineering,ND2,Male,1997-08-29,Delta,2.12,66,69,161412.24,,Off Campus,None,08026755251,
FP/2021/74178,ibrahim dan-asabe,Computer Science,HND2,Female,1999-10-06,Lagos,2.25,67,33,166492.46,,,Private,08084953107,
FP/2021/24176,ALIYU MUSA,Accountancy,ND2,MALE,2001-05-05,Delta,3.8,39,59,170066.42,67034.36,,Private,08098215694,
FP/2021/48889,segun adeyemi,Computer Science,HND2,M,1999-08-03,Kano,1.32,5,46,122477.15,62212.39,Block A,Private,08016067923,
FP/2021/89538,segun adeyemi,Accountancy,ND2,Male,1998-02-16,Oyo,,63,4,143039.3,102588.77,Off Campus,Private,08076981539,
FP/2021/91740,ibrahim dan-asabe,Statistics,HND2,F,2002-05-20,Oyo,4.46,59,37,79848.89,39379.67,Block C,Federal Govt,08063097603,
FP/2021/57994,GRACE PETER,Business Admin,HND2,Female,1998-09-10,Edo,1.56,85,36,171843.9,47999.98,Off Campus,State Govt,08086775808,
FP/2021/72358,CHIOMA NNAJI,Electrical Engineering,HND1,Male,2000-06-20,Rivers,2.64,2,54,51708.09,6211.65,Off Campus,None,08085145715,
FP/2021/13865,GRACE PETER,Accountancy,ND2,M,1999-12-22,Lagos,4.15,58,67,55452.43,64608.88,Block B,None,08016580261,
FP/2021/66088,Emeka Okoye,Mass Communication,ND1,FEMALE,1998-01-03,Enugu,3.02,64,0,197775.04,117689.4,Off Campus,,08030406998,
FP/2021/26976,Aisha Bello,Nutrition,HND2,MALE,1997-07-30,Oyo,2.01,5,44,163401.41,121951.59,Off Campus,Federal Govt,08077943557,
FP/2021/99751,Emeka Okoye,Mass Communication,ND1,FEMALE,2002-05-05,Delta,1.03,-5,18,163463.2,47472.7,Off Campus,Private,08017119170,
FP/2021/88550,Emeka Okoye,Accountancy,ND2,Female,2002-01-28,Enugu,1.45,56,55,195486.27,1194.09,Off Campus,Private,08039940515,
FP/2021/59823,Emeka Okoye,,HND2,MALE,1998-09-05,Edo,,1,27,186955.97,,Off Campus,Federal Govt,08086620182,
FP/2021/91919,segun adeyemi,Nutrition,ND1,Female,2002-09-25,Oyo,4.41,12,49,113787.66,11407.41,Block B,State Govt,08031499905,
FP/2021/85530,Emeka Okoye,Accountancy,HND2,FEMALE,2001-06-15,Edo,1.45,74,32,138238.29,112236.71,,None,08018082970,
